risk_per_unit_pct,symbol,direction,entry_time,exit_time,entry_price,exit_price,lots,stop_price,pyramid_index,exit_reason,gross_pl,commission,net_pl
0.0025,XAGUSD.var,long,2022-01-19 00:00:00,2022-01-27 00:00:00,23.86696843306814,22.777052611553103,0.04,22.8020526115531,1,stop,-4.3596632860601545,0.4,-4.759663286060155
0.0025,XAGUSD.var,long,2022-01-18 00:00:00,2022-01-27 00:00:00,23.477,22.721,0.04,22.444299135247327,0,channel_exit,-3.024000000000001,0.4,-3.424000000000001
0.0025,XAGUSD.var,long,2022-02-22 00:00:00,2022-03-15 00:00:00,24.108999999999998,24.848000000000003,0.04,23.020399422750067,0,channel_exit,2.9560000000000173,0.4,2.5560000000000174
0.0025,XAGUSD.var,long,2022-02-23 00:00:00,2022-03-15 00:00:00,24.508870205645287,24.848000000000003,0.04,23.417549657257855,1,channel_exit,1.3565191774188605,0.4,0.9565191774188605
0.0025,XAGUSD.var,long,2022-04-18 00:00:00,2022-04-21 00:00:00,25.88,24.561134931292617,0.03,24.586134931292616,0,stop,-3.956595206122145,0.30000000000000004,-4.256595206122145
0.0025,XAGUSD.var,short,2022-04-25 00:00:00,2022-07-28 00:00:00,23.553,20.029,0.03,24.8773571068004,0,channel_exit,10.572000000000003,0.30000000000000004,10.272000000000002
0.0025,XAGUSD.var,short,2022-04-28 00:00:00,2022-07-28 00:00:00,23.081188481458877,20.029,0.03,24.36435253090187,1,channel_exit,9.156565444376632,0.30000000000000004,8.856565444376631
0.0025,XAGUSD.var,long,2022-08-10 00:00:00,2022-08-18 00:00:00,20.782951524035006,19.61574745994165,0.04,19.64074745994165,1,stop,-4.668816256373418,0.4,-5.0688162563734185
0.0025,XAGUSD.var,long,2022-07-29 00:00:00,2022-08-18 00:00:00,20.363999999999997,19.504,0.04,19.209637577485115,0,channel_exit,-3.4399999999999835,0.4,-3.8399999999999834
0.0025,XAGUSD.var,short,2022-08-29 00:00:00,2022-09-12 00:00:00,18.62268029000584,19.708199516656936,0.04,19.683199516656938,1,stop,-4.34207690660439,0.4,-4.742076906604391
0.0025,XAGUSD.var,short,2022-08-19 00:00:00,2022-09-12 00:00:00,19.011000000000003,19.801,0.04,20.14130152860078,0,channel_exit,-3.1599999999999824,0.4,-3.5599999999999823
0.0025,XAGUSD.var,long,2022-10-04 00:00:00,2022-10-10 00:00:00,21.19482067102344,19.854632214960937,0.03,19.879632214960935,1,stop,-4.020565368187508,0.30000000000000004,-4.320565368187508
0.0025,XAGUSD.var,long,2022-10-03 00:00:00,2022-10-11 00:00:00,20.711,19.369959519934206,0.03,19.394959519934204,0,stop,-4.023121440197379,0.30000000000000004,-4.3231214401973785
0.0025,XAGUSD.var,long,2022-11-04 00:00:00,2022-12-30 00:00:00,20.846,23.929000000000002,0.03,19.39387197273327,0,end_of_data,9.249000000000006,0.30000000000000004,8.949000000000005
0.0025,XAGUSD.var,long,2022-11-08 00:00:00,2022-12-30 00:00:00,21.393934266728085,23.929000000000002,0.03,19.90777622211986,1,end_of_data,7.605197199815751,0.30000000000000004,7.305197199815751
0.00375,XAGUSD.var,short,2020-03-10 00:00:00,2020-04-06 00:00:00,16.866,15.038,0.06,18.008932048016884,0,channel_exit,10.967999999999996,0.6000000000000001,10.367999999999997
0.00375,XAGUSD.var,long,2020-04-14 00:00:00,2020-09-21 00:00:00,15.763,24.684,0.05,14.358374212448457,0,channel_exit,44.605000000000004,0.5,44.105000000000004
0.00375,XAGUSD.var,short,2020-09-23 00:00:00,2020-10-09 00:00:00,22.733,25.154,0.03,25.20426536064588,0,channel_exit,-7.262999999999997,0.30000000000000004,-7.562999999999997
0.00375,XAGUSD.var,long,2020-11-05 00:00:00,2020-11-23 00:00:00,25.381999999999998,23.40950524116443,0.04,23.43450524116443,0,stop,-7.8899790353422645,0.4,-8.289979035342265
0.00375,XAGUSD.var,short,2020-11-27 00:00:00,2020-12-04 00:00:00,22.658,24.36941571303654,0.04,24.34441571303654,0,stop,-6.845662852146149,0.4,-7.2456628521461495
0.00375,XAGUSD.var,long,2020-12-16 00:00:00,2021-01-08 00:00:00,25.383,25.381,0.04,23.748992373261014,0,channel_exit,-0.007999999999995566,0.4,-0.4079999999999956
0.00375,XAGUSD.var,long,2021-02-01 00:00:00,2021-02-02 00:00:00,28.983999999999998,26.821185759079142,0.03,26.84618575907914,0,stop,-6.488442722762566,0.30000000000000004,-6.788442722762566
0.00375,XAGUSD.var,short,2021-03-04 00:00:00,2021-04-08 00:00:00,25.295,25.468999999999998,0.03,27.2956465388316,0,channel_exit,-0.5219999999999878,0.30000000000000004,-0.8219999999999879
0.00375,XAGUSD.var,long,2021-04-15 00:00:00,2021-06-16 00:00:00,25.849999999999998,26.867,0.05,24.408516898431557,0,channel_exit,5.085000000000015,0.5,4.585000000000015
0.00375,XAGUSD.var,short,2021-06-17 00:00:00,2021-07-02 00:00:00,25.842000000000002,26.468,0.05,27.240844272127692,0,channel_exit,-3.1299999999999883,0.5,-3.6299999999999883
0.00375,XAGUSD.var,short,2021-07-19 00:00:00,2021-08-27 00:00:00,25.135,24.029999999999998,0.06,26.293729988599225,0,channel_exit,6.630000000000023,0.6000000000000001,6.0300000000000225
0.00375,XAGUSD.var,long,2021-09-03 00:00:00,2021-09-10 00:00:00,24.703,23.705000000000002,0.06,23.555961649716924,0,channel_exit,-5.987999999999985,0.6000000000000001,-6.587999999999985
0.00375,XAGUSD.var,short,2021-09-16 00:00:00,2021-10-14 00:00:00,22.862000000000002,23.528,0.06,24.02182541063741,0,channel_exit,-3.995999999999981,0.6000000000000001,-4.5959999999999805
0.00375,XAGUSD.var,long,2021-10-19 00:00:00,2021-11-02 00:00:00,23.668999999999997,23.493000000000002,0.06,22.46849721778161,0,channel_exit,-1.055999999999969,0.6000000000000001,-1.655999999999969
0.00375,XAGUSD.var,long,2021-11-11 00:00:00,2021-11-23 00:00:00,25.256,24.057775874971245,0.06,24.082775874971244,0,stop,-7.18934475017253,0.6000000000000001,-7.78934475017253
0.00375,XAGUSD.var,short,2021-11-26 00:00:00,2021-12-22 00:00:00,23.103,22.808,0.06,24.26340431716344,0,channel_exit,1.77000000000001,0.6000000000000001,1.17000000000001
0.00375,XAGUSD.var,long,2021-12-23 00:00:00,2022-01-06 00:00:00,22.915,22.146,0.07,21.878603332496834,0,channel_exit,-5.382999999999989,0.7000000000000002,-6.0829999999999895
0.00375,XAGUSD.var,long,2022-01-18 00:00:00,2022-01-27 00:00:00,23.477,22.721,0.07,22.444299135247327,0,channel_exit,-5.2920000000000025,0.7000000000000002,-5.992000000000003
0.00375,XAGUSD.var,long,2022-02-22 00:00:00,2022-03-15 00:00:00,24.108999999999998,24.848000000000003,0.07,23.020399422750067,0,channel_exit,5.173000000000031,0.7000000000000002,4.473000000000031
0.00375,XAGUSD.var,long,2022-04-18 00:00:00,2022-04-21 00:00:00,25.88,24.561134931292617,0.05,24.586134931292616,0,stop,-6.59432534353691,0.5,-7.09432534353691
0.00375,XAGUSD.var,short,2022-04-25 00:00:00,2022-07-28 00:00:00,23.553,20.029,0.05,24.8773571068004,0,channel_exit,17.620000000000005,0.5,17.120000000000005
0.00375,XAGUSD.var,long,2022-07-29 00:00:00,2022-08-18 00:00:00,20.363999999999997,19.504,0.06,19.209637577485115,0,channel_exit,-5.159999999999975,0.6000000000000001,-5.759999999999975
0.00375,XAGUSD.var,short,2022-08-19 00:00:00,2022-09-12 00:00:00,19.011000000000003,19.801,0.06,20.14130152860078,0,channel_exit,-4.739999999999974,0.6000000000000001,-5.339999999999973
0.00375,XAGUSD.var,long,2022-10-03 00:00:00,2022-10-11 00:00:00,20.711,19.369959519934206,0.05,19.394959519934204,0,stop,-6.7052024003289645,0.5,-7.2052024003289645
0.00375,XAGUSD.var,long,2022-11-04 00:00:00,2022-12-30 00:00:00,20.846,23.929000000000002,0.05,19.39387197273327,0,end_of_data,15.415000000000012,0.5,14.915000000000012
0.005,XAGUSD.var,short,2020-03-10 00:00:00,2020-04-06 00:00:00,16.866,15.038,0.08,18.008932048016884,0,channel_exit,14.623999999999995,0.8,13.823999999999995
0.005,XAGUSD.var,long,2020-04-14 00:00:00,2020-09-21 00:00:00,15.763,24.684,0.07,14.358374212448457,0,channel_exit,62.44700000000002,0.7000000000000002,61.747000000000014
0.005,XAGUSD.var,short,2020-09-23 00:00:00,2020-10-09 00:00:00,22.733,25.154,0.04,25.20426536064588,0,channel_exit,-9.683999999999997,0.4,-10.083999999999998
