symbol,risk_per_unit_pct,risk_per_unit_percent,dollar_risk_per_unit_at_initial_equity,year,breakout_signals,valid_non_floored_signals,sub_min_lot_rejections,warmup_rejections,sub_min_lot_rejection_pct,initial_entries,pyramid_events,closed_trade_units
XAUUSD.var,0.02,2.0,20.0,2015,42,41,1,0,0.023809523809523808,0,0,0
XAUUSD.var,0.02,2.0,20.0,2016,38,34,4,0,0.10526315789473684,0,0,0
XAUUSD.var,0.02,2.0,20.0,2017,48,48,0,0,0.0,0,0,0
XAUUSD.var,0.02,2.0,20.0,2018,36,36,0,0,0.0,0,0,0
XAUUSD.var,0.02,2.0,20.0,2019,33,27,6,0,0.18181818181818182,0,0,0
XAUUSD.var,0.02,2.0,20.0,2020,37,9,28,0,0.7567567567567568,0,0,0
XAUUSD.var,0.02,2.0,20.0,2021,35,1,34,0,0.9714285714285714,0,0,0
XAUUSD.var,0.02,2.0,20.0,2022,37,2,35,0,0.9459459459459459,0,0,0
XAGUSD.var,0.005,0.5,5.0,2013,0,0,0,0,,0,0,0
XAGUSD.var,0.005,0.5,5.0,2014,0,0,0,0,,0,0,0
XAGUSD.var,0.005,0.5,5.0,2015,0,0,0,0,,0,0,0
XAGUSD.var,0.005,0.5,5.0,2016,0,0,0,0,,0,0,0
XAGUSD.var,0.005,0.5,5.0,2017,0,0,0,0,,0,0,0
XAGUSD.var,0.005,0.5,5.0,2018,0,0,0,0,,0,0,0
XAGUSD.var,0.005,0.5,5.0,2019,0,0,0,0,,0,0,0
XAGUSD.var,0.005,0.5,5.0,2020,29,29,0,0,0.0,6,0,6
XAGUSD.var,0.005,0.5,5.0,2021,31,31,0,0,0.0,11,0,11
XAGUSD.var,0.005,0.5,5.0,2022,39,39,0,0,0.0,8,0,8
XAGUSD.var,0.0075,0.75,7.5,2013,0,0,0,0,,0,0,0
XAGUSD.var,0.0075,0.75,7.5,2014,0,0,0,0,,0,0,0
XAGUSD.var,0.0075,0.75,7.5,2015,0,0,0,0,,0,0,0
XAGUSD.var,0.0075,0.75,7.5,2016,0,0,0,0,,0,0,0
XAGUSD.var,0.0075,0.75,7.5,2017,0,0,0,0,,0,0,0
XAGUSD.var,0.0075,0.75,7.5,2018,0,0,0,0,,0,0,0
XAGUSD.var,0.0075,0.75,7.5,2019,0,0,0,0,,0,0,0
XAGUSD.var,0.0075,0.75,7.5,2020,29,29,0,0,0.0,0,0,0
XAGUSD.var,0.0075,0.75,7.5,2021,31,31,0,0,0.0,0,0,0
XAGUSD.var,0.0075,0.75,7.5,2022,39,39,0,0,0.0,0,0,0
XAGUSD.var,0.01,1.0,10.0,2013,0,0,0,0,,0,0,0
XAGUSD.var,0.01,1.0,10.0,2014,0,0,0,0,,0,0,0
XAGUSD.var,0.01,1.0,10.0,2015,0,0,0,0,,0,0,0
XAGUSD.var,0.01,1.0,10.0,2016,0,0,0,0,,0,0,0
XAGUSD.var,0.01,1.0,10.0,2017,0,0,0,0,,0,0,0
XAGUSD.var,0.01,1.0,10.0,2018,0,0,0,0,,0,0,0
XAGUSD.var,0.01,1.0,10.0,2019,0,0,0,0,,0,0,0
