symbol,risk_per_unit_pct,year,date,direction,equity_at_signal,close,atr,raw_lots,stepped_lots,classification
XAGUSD.var,0.0075,2021,2021-07-20,short,1000.0,24.913,0.5616717445846324,0.1335299500519899,0.13,valid_non_floored
XAGUSD.var,0.0075,2021,2021-07-27,short,1000.0,24.674,0.5517018075294572,0.1359430021370657,0.13,valid_non_floored
XAGUSD.var,0.0075,2021,2021-08-06,short,1000.0,24.298,0.5542901272477417,0.13530820109029024,0.13,valid_non_floored
XAGUSD.var,0.0075,2021,2021-08-09,short,1000.0,23.425,0.6259256208853547,0.1198225436017694,0.11,valid_non_floored
XAGUSD.var,0.0075,2021,2021-09-03,long,1000.0,24.678,0.5610191751415388,0.13368527017116366,0.13,valid_non_floored
XAGUSD.var,0.0075,2021,2021-09-16,short,1000.0,22.887,0.5674127053187047,0.13217892249676355,0.13,valid_non_floored
XAGUSD.var,0.0075,2021,2021-09-17,short,1000.0,22.381,0.5791920700527693,0.12949072316056892,0.12,valid_non_floored
XAGUSD.var,0.0075,2021,2021-09-20,short,1000.0,22.263,0.5740824665501308,0.13064325139679342,0.13,valid_non_floored
XAGUSD.var,0.0075,2021,2021-09-29,short,1000.0,21.509,0.5960962296801366,0.12581861160276883,0.12,valid_non_floored
XAGUSD.var,0.0075,2021,2021-10-14,long,1000.0,23.503,0.5785782371881535,0.12962810416875398,0.12,valid_non_floored
XAGUSD.var,0.0075,2021,2021-10-19,long,1000.0,23.644,0.5877513911091929,0.12760497233100795,0.12,valid_non_floored
XAGUSD.var,0.0075,2021,2021-10-20,long,1000.0,24.293,0.6009638215537333,0.12479952587843778,0.12,valid_non_floored
XAGUSD.var,0.0075,2021,2021-11-11,long,1000.0,25.231,0.5741120625143784,0.13063651662626694,0.13,valid_non_floored
XAGUSD.var,0.0075,2021,2021-11-12,long,1000.0,25.278,0.5724564593886595,0.13101433090665857,0.13,valid_non_floored
XAGUSD.var,0.0075,2021,2021-11-26,short,1000.0,23.128,0.5677021585817206,0.1321115286708986,0.13,valid_non_floored
XAGUSD.var,0.0075,2021,2021-11-29,short,1000.0,22.897,0.5737170506526347,0.13072646161497795,0.13,valid_non_floored
XAGUSD.var,0.0075,2021,2021-12-01,short,1000.0,22.308,0.589527138214003,0.1272206063782163,0.12,valid_non_floored
XAGUSD.var,0.0075,2021,2021-12-09,short,1000.0,21.946,0.5468155194013524,0.13715777504286852,0.13,valid_non_floored
XAGUSD.var,0.0075,2021,2021-12-23,long,1000.0,22.89,0.5056983337515838,0.14830976294425077,0.14,valid_non_floored
XAGUSD.var,0.0075,2021,2021-12-27,long,1000.0,23.046,0.5039634170640046,0.14882032596122907,0.14,valid_non_floored
XAGUSD.var,0.0075,2022,2022-01-18,long,1000.0,23.452,0.5038504323763371,0.14885369780526622,0.14,valid_non_floored
XAGUSD.var,0.0075,2022,2022-01-19,long,1000.0,24.145,0.5199579107575203,0.144242444336953,0.14,valid_non_floored
XAGUSD.var,0.0075,2022,2022-01-20,long,1000.0,24.453,0.5253600152196443,0.14275924666372594,0.14,valid_non_floored
XAGUSD.var,0.0075,2022,2022-02-22,long,1000.0,24.084,0.5318002886249656,0.14103038603819043,0.14,valid_non_floored
XAGUSD.var,0.0075,2022,2022-02-23,long,1000.0,24.53,0.5331602741937173,0.14067064563919415,0.14,valid_non_floored
XAGUSD.var,0.0075,2022,2022-03-04,long,1000.0,25.694,0.6283806646791051,0.11935440444893418,0.11,valid_non_floored
XAGUSD.var,0.0075,2022,2022-03-08,long,1000.0,26.369,0.6871360498728925,0.10914869044328794,0.1,valid_non_floored
XAGUSD.var,0.0075,2022,2022-04-18,long,1000.0,25.855,0.6344325343536921,0.118215879449505,0.11,valid_non_floored
XAGUSD.var,0.0075,2022,2022-04-25,short,1000.0,23.578,0.6496785534002005,0.11544170514399014,0.11,valid_non_floored
XAGUSD.var,0.0075,2022,2022-04-27,short,1000.0,23.268,0.6345073944436809,0.11820193217095286,0.11,valid_non_floored
XAGUSD.var,0.0075,2022,2022-04-28,short,1000.0,23.125,0.6290820247214969,0.11922133688878411,0.11,valid_non_floored
XAGUSD.var,0.0075,2022,2022-04-29,short,1000.0,22.73,0.641927923485422,0.1168355468831747,0.11,valid_non_floored
XAGUSD.var,0.0075,2022,2022-05-02,short,1000.0,22.626,0.6469815273111509,0.1159229388073865,0.11,valid_non_floored
XAGUSD.var,0.0075,2022,2022-05-09,short,1000.0,21.764,0.6587527549355041,0.11385151627539371,0.11,valid_non_floored
XAGUSD.var,0.0075,2022,2022-05-10,short,1000.0,21.248,0.6718651171887289,0.11162954896932427,0.11,valid_non_floored
XAGUSD.var,0.0075,2022,2022-05-12,short,1000.0,20.673000000000002,0.6928307682628277,0.10825154342964816,0.1,valid_non_floored
XAGUSD.var,0.0075,2022,2022-06-13,short,1000.0,21.078,0.6144865266873525,0.12205312361252081,0.12,valid_non_floored
XAGUSD.var,0.0075,2022,2022-06-30,short,1000.0,20.257,0.5719081055118304,0.13113994936805204,0.13,valid_non_floored
XAGUSD.var,0.0075,2022,2022-07-01,short,1000.0,19.831,0.5890627002362387,0.12732091162778064,0.12,valid_non_floored
XAGUSD.var,0.0075,2022,2022-07-05,short,1000.0,19.216,0.5978115869632055,0.12545758836992257,0.12,valid_non_floored
XAGUSD.var,0.0075,2022,2022-07-14,short,1000.0,18.412,0.5812660948618359,0.12902868524926975,0.12,valid_non_floored
XAGUSD.var,0.0075,2022,2022-07-28,long,1000.0,20.004,0.5671381171130959,0.13224291885329914,0.13,valid_non_floored
XAGUSD.var,0.0075,2022,2022-07-29,long,1000.0,20.339,0.5646812112574412,0.13281830261890384,0.13,valid_non_floored
XAGUSD.var,0.0075,2022,2022-08-08,long,1000.0,20.653,0.5742016975586475,0.13061612377476417,0.13,valid_non_floored
XAGUSD.var,0.0075,2022,2022-08-19,short,1000.0,19.036,0.5526507643003902,0.1357095743727845,0.13,valid_non_floored
XAGUSD.var,0.0075,2022,2022-08-22,short,1000.0,18.971,0.5469682260853707,0.137119482308455,0.13,valid_non_floored
XAGUSD.var,0.0075,2022,2022-08-30,short,1000.0,18.418,0.5166216326592726,0.14517394406026496,0.14,valid_non_floored
XAGUSD.var,0.0075,2022,2022-08-31,short,1000.0,17.967,0.521140551026309,0.14391511052497954,0.14,valid_non_floored
XAGUSD.var,0.0075,2022,2022-09-01,short,1000.0,17.79,0.5175835234749935,0.14490414898924725,0.14,valid_non_floored
XAGUSD.var,0.0075,2022,2022-09-12,long,1000.0,19.776,0.5450534231385469,0.13760119066518692,0.13,valid_non_floored
XAGUSD.var,0.0075,2022,2022-10-03,long,1000.0,20.686,0.6455202400328985,0.1161853577142332,0.11,valid_non_floored
XAGUSD.var,0.0075,2022,2022-10-04,long,1000.0,21.058,0.6450942280312536,0.11626208504281701,0.11,valid_non_floored
XAGUSD.var,0.0075,2022,2022-11-04,long,1000.0,20.821,0.7135640136333659,0.10510619729561575,0.1,valid_non_floored
XAGUSD.var,0.0075,2022,2022-11-08,long,1000.0,21.33,0.7305790223041126,0.10265829939034346,0.1,valid_non_floored
XAGUSD.var,0.0075,2022,2022-11-10,long,1000.0,21.663,0.7324550676294617,0.10239535954435011,0.1,valid_non_floored
XAGUSD.var,0.0075,2022,2022-12-01,long,1000.0,22.736,0.6654244938036281,0.11271000796993967,0.11,valid_non_floored
XAGUSD.var,0.0075,2022,2022-12-02,long,1000.0,23.133,0.6800532691134467,0.11028547822110164,0.11,valid_non_floored
XAGUSD.var,0.0075,2022,2022-12-13,long,1000.0,23.72,0.7009574498047434,0.10699650887638298,0.1,valid_non_floored
XAGUSD.var,0.0075,2022,2022-12-20,long,1000.0,24.14,0.7394653995325234,0.1014246238531426,0.1,valid_non_floored
XAGUSD.var,0.01,2020,2020-03-10,short,1000.0,16.891,0.558966024008443,0.17890175020456975,0.17,valid_non_floored
XAGUSD.var,0.01,2020,2020-03-11,short,1000.0,16.758,0.5528677228080209,0.1808750915898996,0.18,valid_non_floored
XAGUSD.var,0.01,2020,2020-03-12,short,1000.0,15.808,0.5952743366676199,0.16798977184167854,0.16,valid_non_floored
XAGUSD.var,0.01,2020,2020-03-13,short,1000.0,14.69,0.6367606198342389,0.15704488764715369,0.15,valid_non_floored
XAGUSD.var,0.01,2020,2020-03-16,short,1000.0,12.865,0.8039225888425271,0.12439008604544644,0.12,valid_non_floored
XAGUSD.var,0.01,2020,2020-04-14,long,1000.0,15.738,0.6898128937757716,0.14496684666567813,0.14,valid_non_floored
XAGUSD.var,0.01,2020,2020-05-14,long,1000.0,15.861,0.5100624357995651,0.1960544297743505,0.19,valid_non_floored
XAGUSD.var,0.01,2020,2020-05-15,long,1000.0,16.627,0.5321093140095867,0.1879313091636625,0.18,valid_non_floored
XAGUSD.var,0.01,2020,2020-05-18,long,1000.0,16.949,0.5519538483091074,0.18117456795771375,0.18,valid_non_floored
XAGUSD.var,0.01,2020,2020-05-29,long,1000.0,17.86,0.5276518401446978,0.18951890696065238,0.18,valid_non_floored
XAGUSD.var,0.01,2020,2020-06-01,long,1000.0,18.297,0.5271192481374629,0.189710393527352,0.18,valid_non_floored
XAGUSD.var,0.01,2020,2020-06-30,long,1000.0,18.197,0.47874355477656866,0.20888009666609583,0.2,valid_non_floored
XAGUSD.var,0.01,2020,2020-07-08,long,1000.0,18.71,0.4616807524458661,0.21659988957786452,0.21,valid_non_floored
XAGUSD.var,0.01,2020,2020-07-13,long,1000.0,19.063,0.47088853512827455,0.21236448233499472,0.21,valid_non_floored
XAGUSD.var,0.01,2020,2020-07-15,long,1000.0,19.414,0.4625594029532678,0.21618844922735894,0.21,valid_non_floored
XAGUSD.var,0.01,2020,2020-07-20,long,1000.0,19.896,0.4682572431070581,0.21355782846296925,0.21,valid_non_floored
XAGUSD.var,0.01,2020,2020-07-21,long,1000.0,21.269,0.5184443809517052,0.19288472143613672,0.19,valid_non_floored
XAGUSD.var,0.01,2020,2020-07-22,long,1000.0,23.033,0.58317216190412,0.1714759491836668,0.17,valid_non_floored
XAGUSD.var,0.01,2020,2020-07-27,long,1000.0,24.538,0.666148482312545,0.15011668217399282,0.15,valid_non_floored
XAGUSD.var,0.01,2020,2020-08-05,long,1000.0,26.968,1.0077976733116607,0.09922626599384406,0.09,valid_non_floored
XAGUSD.var,0.01,2020,2020-08-06,long,1000.0,28.892,1.0719077896460776,0.09329160676499794,0.09,valid_non_floored
XAGUSD.var,0.01,2020,2020-09-21,short,1000.0,24.709,1.1773353798592132,0.0849375646996679,0.08,valid_non_floored
XAGUSD.var,0.01,2020,2020-09-23,short,1000.0,22.758,1.22313268032294,0.08175727916418463,0.08,valid_non_floored
XAGUSD.var,0.01,2020,2020-11-05,long,1000.0,25.357,0.9612473794177843,0.10403149297589635,0.1,valid_non_floored
XAGUSD.var,0.01,2020,2020-11-06,long,1000.0,25.604,0.9607350104468949,0.10408697394454695,0.1,valid_non_floored
XAGUSD.var,0.01,2020,2020-11-27,short,1000.0,22.683,0.8307078565182703,0.12037926355858493,0.12,valid_non_floored
XAGUSD.var,0.01,2020,2020-12-16,long,1000.0,25.358,0.8045038133694925,0.12430021876611293,0.12,valid_non_floored
XAGUSD.var,0.01,2020,2020-12-17,long,1000.0,26.069,0.8115786227010178,0.12321665110792303,0.12,valid_non_floored
XAGUSD.var,0.01,2020,2020-12-21,long,1000.0,26.179,0.8775747069876687,0.11395041265860589,0.11,valid_non_floored
XAGUSD.var,0.01,2021,2021-02-01,long,1000.0,28.959,1.0564071204604297,0.09466047517401767,0.09,valid_non_floored
XAGUSD.var,0.01,2021,2021-03-04,short,1000.0,25.32,0.9878232694158008,0.10123268310852816,0.1,valid_non_floored
XAGUSD.var,0.01,2021,2021-03-30,short,1000.0,24.006,0.8038843316061272,0.12439600582860495,0.12,valid_non_floored
XAGUSD.var,0.01,2021,2021-04-15,long,1000.0,25.825,0.7082415507842216,0.14119476595135097,0.14,valid_non_floored
XAGUSD.var,0.01,2021,2021-04-21,long,1000.0,26.53,0.6907557133734408,0.14476897992146953,0.14,valid_non_floored
XAGUSD.var,0.01,2021,2021-05-03,long,1000.0,26.873,0.663694499978194,0.15067173225525532,0.15,valid_non_floored
XAGUSD.var,0.01,2021,2021-05-06,long,1000.0,27.291,0.7040954469188041,0.14202619891608523,0.14,valid_non_floored
XAGUSD.var,0.01,2021,2021-05-17,long,1000.0,28.157,0.6932267336697606,0.14425294805153605,0.14,valid_non_floored
XAGUSD.var,0.01,2021,2021-06-16,short,1000.0,26.892,0.6456022484882581,0.15489413215979336,0.15,valid_non_floored
XAGUSD.var,0.01,2021,2021-06-17,short,1000.0,25.867,0.6869221360638451,0.1455769071193618,0.14,valid_non_floored
XAGUSD.var,0.01,2021,2021-07-19,short,1000.0,25.16,0.5668649942996131,0.1764088469134603,0.17,valid_non_floored
XAGUSD.var,0.01,2021,2021-07-20,short,1000.0,24.913,0.5616717445846324,0.1780399334026532,0.17,valid_non_floored
XAGUSD.var,0.01,2021,2021-07-27,short,1000.0,24.674,0.5517018075294572,0.18125733618275425,0.18,valid_non_floored
XAGUSD.var,0.01,2021,2021-08-06,short,1000.0,24.298,0.5542901272477417,0.18041093478705364,0.18,valid_non_floored
XAGUSD.var,0.01,2021,2021-08-09,short,1000.0,23.425,0.6259256208853547,0.15976339146902588,0.15,valid_non_floored
XAGUSD.var,0.01,2021,2021-09-03,long,1000.0,24.678,0.5610191751415388,0.1782470268948849,0.17,valid_non_floored
XAGUSD.var,0.01,2021,2021-09-16,short,1000.0,22.887,0.5674127053187047,0.17623856332901805,0.17,valid_non_floored
XAGUSD.var,0.01,2021,2021-09-17,short,1000.0,22.381,0.5791920700527693,0.17265429754742526,0.17,valid_non_floored
XAGUSD.var,0.01,2021,2021-09-20,short,1000.0,22.263,0.5740824665501308,0.17419100186239123,0.17,valid_non_floored
XAGUSD.var,0.01,2021,2021-09-29,short,1000.0,21.509,0.5960962296801366,0.16775814880369178,0.16,valid_non_floored
XAGUSD.var,0.01,2021,2021-10-14,long,1000.0,23.503,0.5785782371881535,0.17283747222500528,0.17,valid_non_floored
XAGUSD.var,0.01,2021,2021-10-19,long,1000.0,23.644,0.5877513911091929,0.1701399631080106,0.17,valid_non_floored
XAGUSD.var,0.01,2021,2021-10-20,long,1000.0,24.293,0.6009638215537333,0.16639936783791703,0.16,valid_non_floored
XAGUSD.var,0.01,2021,2021-11-11,long,1000.0,25.231,0.5741120625143784,0.17418202216835593,0.17,valid_non_floored
XAGUSD.var,0.01,2021,2021-11-12,long,1000.0,25.278,0.5724564593886595,0.17468577454221143,0.17,valid_non_floored
XAGUSD.var,0.01,2021,2021-11-26,short,1000.0,23.128,0.5677021585817206,0.17614870489453147,0.17,valid_non_floored
XAGUSD.var,0.01,2021,2021-11-29,short,1000.0,22.897,0.5737170506526347,0.17430194881997058,0.17,valid_non_floored
XAGUSD.var,0.01,2021,2021-12-01,short,1000.0,22.308,0.589527138214003,0.16962747517095508,0.16,valid_non_floored
XAGUSD.var,0.01,2021,2021-12-09,short,1000.0,21.946,0.5468155194013524,0.18287703339049136,0.18,valid_non_floored
XAGUSD.var,0.01,2021,2021-12-23,long,1000.0,22.89,0.5056983337515838,0.19774635059233434,0.19,valid_non_floored
XAGUSD.var,0.01,2021,2021-12-27,long,1000.0,23.046,0.5039634170640046,0.19842710128163876,0.19,valid_non_floored
XAGUSD.var,0.01,2022,2022-01-18,long,1000.0,23.452,0.5038504323763371,0.19847159707368828,0.19,valid_non_floored
XAGUSD.var,0.01,2022,2022-01-19,long,1000.0,24.145,0.5199579107575203,0.19232325911593734,0.19,valid_non_floored
XAGUSD.var,0.01,2022,2022-01-20,long,1000.0,24.453,0.5253600152196443,0.19034566221830124,0.19,valid_non_floored
XAGUSD.var,0.01,2022,2022-02-22,long,1000.0,24.084,0.5318002886249656,0.18804051471758726,0.18,valid_non_floored
XAGUSD.var,0.01,2022,2022-02-23,long,1000.0,24.53,0.5331602741937173,0.18756086085225887,0.18,valid_non_floored
XAGUSD.var,0.01,2022,2022-03-04,long,1000.0,25.694,0.6283806646791051,0.15913920593191222,0.15,valid_non_floored
XAGUSD.var,0.01,2022,2022-03-08,long,1000.0,26.369,0.6871360498728925,0.14553158725771725,0.14,valid_non_floored
XAGUSD.var,0.01,2022,2022-04-18,long,1000.0,25.855,0.6344325343536921,0.15762117259934,0.15,valid_non_floored
XAGUSD.var,0.01,2022,2022-04-25,short,1000.0,23.578,0.6496785534002005,0.15392227352532017,0.15,valid_non_floored
XAGUSD.var,0.01,2022,2022-04-27,short,1000.0,23.268,0.6345073944436809,0.15760257622793714,0.15,valid_non_floored
XAGUSD.var,0.01,2022,2022-04-28,short,1000.0,23.125,0.6290820247214969,0.15896178251837884,0.15,valid_non_floored
XAGUSD.var,0.01,2022,2022-04-29,short,1000.0,22.73,0.641927923485422,0.15578072917756627,0.15,valid_non_floored
XAGUSD.var,0.01,2022,2022-05-02,short,1000.0,22.626,0.6469815273111509,0.15456391840984868,0.15,valid_non_floored
XAGUSD.var,0.01,2022,2022-05-09,short,1000.0,21.764,0.6587527549355041,0.15180202170052495,0.15,valid_non_floored
XAGUSD.var,0.01,2022,2022-05-10,short,1000.0,21.248,0.6718651171887289,0.14883939862576567,0.14,valid_non_floored
XAGUSD.var,0.01,2022,2022-05-12,short,1000.0,20.673000000000002,0.6928307682628277,0.14433539123953087,0.14,valid_non_floored
XAGUSD.var,0.01,2022,2022-06-13,short,1000.0,21.078,0.6144865266873525,0.16273749815002775,0.16,valid_non_floored
XAGUSD.var,0.01,2022,2022-06-30,short,1000.0,20.257,0.5719081055118304,0.1748532658240694,0.17,valid_non_floored
XAGUSD.var,0.01,2022,2022-07-01,short,1000.0,19.831,0.5890627002362387,0.16976121550370754,0.16,valid_non_floored
XAGUSD.var,0.01,2022,2022-07-05,short,1000.0,19.216,0.5978115869632055,0.16727678449323008,0.16,valid_non_floored
XAGUSD.var,0.01,2022,2022-07-14,short,1000.0,18.412,0.5812660948618359,0.17203824699902634,0.17,valid_non_floored
XAGUSD.var,0.01,2022,2022-07-28,long,1000.0,20.004,0.5671381171130959,0.17632389180439884,0.17,valid_non_floored
XAGUSD.var,0.01,2022,2022-07-29,long,1000.0,20.339,0.5646812112574412,0.17709107015853848,0.17,valid_non_floored
XAGUSD.var,0.01,2022,2022-08-08,long,1000.0,20.653,0.5742016975586475,0.17415483169968557,0.17,valid_non_floored
XAGUSD.var,0.01,2022,2022-08-19,short,1000.0,19.036,0.5526507643003902,0.18094609916371268,0.18,valid_non_floored
XAGUSD.var,0.01,2022,2022-08-22,short,1000.0,18.971,0.5469682260853707,0.18282597641127332,0.18,valid_non_floored
XAGUSD.var,0.01,2022,2022-08-30,short,1000.0,18.418,0.5166216326592726,0.19356525874701996,0.19,valid_non_floored
XAGUSD.var,0.01,2022,2022-08-31,short,1000.0,17.967,0.521140551026309,0.19188681403330607,0.19,valid_non_floored
XAGUSD.var,0.01,2022,2022-09-01,short,1000.0,17.79,0.5175835234749935,0.19320553198566298,0.19,valid_non_floored
XAGUSD.var,0.01,2022,2022-09-12,long,1000.0,19.776,0.5450534231385469,0.18346825422024923,0.18,valid_non_floored
XAGUSD.var,0.01,2022,2022-10-03,long,1000.0,20.686,0.6455202400328985,0.15491381028564427,0.15,valid_non_floored
XAGUSD.var,0.01,2022,2022-10-04,long,1000.0,21.058,0.6450942280312536,0.15501611339042268,0.15,valid_non_floored
XAGUSD.var,0.01,2022,2022-11-04,long,1000.0,20.821,0.7135640136333659,0.14014159639415433,0.14,valid_non_floored
XAGUSD.var,0.01,2022,2022-11-08,long,1000.0,21.33,0.7305790223041126,0.13687773252045796,0.13,valid_non_floored
XAGUSD.var,0.01,2022,2022-11-10,long,1000.0,21.663,0.7324550676294617,0.1365271460591335,0.13,valid_non_floored
XAGUSD.var,0.01,2022,2022-12-01,long,1000.0,22.736,0.6654244938036281,0.15028001062658625,0.15,valid_non_floored
XAGUSD.var,0.01,2022,2022-12-02,long,1000.0,23.133,0.6800532691134467,0.1470473042948022,0.14,valid_non_floored
XAGUSD.var,0.01,2022,2022-12-13,long,1000.0,23.72,0.7009574498047434,0.1426620118351773,0.14,valid_non_floored
XAGUSD.var,0.01,2022,2022-12-20,long,1000.0,24.14,0.7394653995325234,0.13523283180419013,0.13,valid_non_floored
XAGUSD.var,0.0125,2020,2020-03-10,short,1000.0,16.891,0.558966024008443,0.2236271877557122,0.22,valid_non_floored
XAGUSD.var,0.0125,2020,2020-03-11,short,1000.0,16.758,0.5528677228080209,0.22609386448737448,0.22,valid_non_floored
XAGUSD.var,0.0125,2020,2020-03-12,short,1000.0,15.808,0.5952743366676199,0.20998721480209817,0.2,valid_non_floored
XAGUSD.var,0.0125,2020,2020-03-13,short,1000.0,14.69,0.6367606198342389,0.19630610955894212,0.19,valid_non_floored
XAGUSD.var,0.0125,2020,2020-03-16,short,1000.0,12.865,0.8039225888425271,0.15548760755680804,0.15,valid_non_floored
XAGUSD.var,0.0125,2020,2020-04-14,long,1000.0,15.738,0.6898128937757716,0.18120855833209767,0.18,valid_non_floored
XAGUSD.var,0.0125,2020,2020-05-14,long,1000.0,15.861,0.5100624357995651,0.24506803721793813,0.24,valid_non_floored
XAGUSD.var,0.0125,2020,2020-05-15,long,1000.0,16.627,0.5321093140095867,0.2349141364545781,0.23,valid_non_floored
XAGUSD.var,0.0125,2020,2020-05-18,long,1000.0,16.949,0.5519538483091074,0.22646820994714217,0.22,valid_non_floored
XAGUSD.var,0.0125,2020,2020-05-29,long,1000.0,17.86,0.5276518401446978,0.23689863370081546,0.23,valid_non_floored
