date,open,high,low,close,atr,long_entry_level,short_entry_level,long_exit_level,short_exit_level,warmup_ready,long_entry_signal,short_entry_signal,entry_signal,audit_action,rejection_reason,raw_lots,capped_lots,stepped_lots,min_lot,max_lots_by_leverage,max_by_position,open_risk_at_min_lot,max_open_risk_dollars
2024-04-26,2332.54,2352.46,2326.26,2337.33,37.59776042630983,2431.41,2267.7,2291.37,2417.79,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-04-29,2333.75,2346.67,2319.9,2336.43,37.05637240499434,2431.41,2291.37,2291.37,2417.79,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-04-30,2335.98,2336.27,2285.08,2285.83,37.771053784744616,2431.41,2291.37,2291.37,2417.79,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0033094125653038136,0.0033094125653038136,0.0,0.01,0.21873892634185393,10.0,75.54210756948942,100.0
2024-05-01,2288.17,2328.26,2281.53,2318.18,38.21900109550739,2431.41,2285.08,2285.08,2417.79,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-02,2320.24,2326.36,2285.46,2303.09,38.35305104073202,2431.41,2281.53,2281.53,2388.49,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-03,2305.16,2320.53,2277.29,2301.86,38.59739848869543,2431.41,2281.53,2281.53,2352.46,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-06,2302.29,2331.98,2291.79,2324.41,38.67702856426066,2417.79,2277.29,2277.29,2352.46,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-07,2325.15,2329.83,2309.84,2313.88,37.74267713604762,2417.79,2277.29,2277.29,2352.46,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-08,2315.1,2321.38,2303.61,2308.66,36.74404327924524,2417.79,2277.29,2277.29,2352.46,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-09,2310.09,2347.2,2306.66,2345.35,36.93384111528297,2417.79,2277.29,2277.29,2346.67,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-10,2345.64,2378.36,2345.24,2360.86,36.74314905951884,2417.79,2277.29,2277.29,2347.2,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-13,2361.46,2364.42,2332.07,2336.6,36.52349160654289,2388.49,2277.29,2277.29,2378.36,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-14,2337.31,2359.56,2334.76,2357.87,35.93731702621573,2378.36,2277.29,2277.29,2378.36,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-15,2357.18,2390.21,2351.83,2387.27,36.05945117490495,2378.36,2277.29,2277.29,2378.36,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0034664975735124864,0.0034664975735124864,0.0,0.01,0.20944426059892682,10.0,72.11890234981001,100.0
2024-05-16,2387.69,2397.24,2370.9,2376.09,35.57347861615968,2390.21,2277.29,2291.79,2390.21,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-17,2378.02,2422.67,2373.91,2414.39,36.23280468535171,2397.24,2277.29,2303.61,2397.24,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0034499123400881884,0.0034499123400881884,0.0,0.01,0.20709164633717006,10.0,72.46560937070353,100.0
2024-05-20,2425.17,2449.99,2407.31,2425.06,36.55516445108411,2422.67,2277.29,2303.61,2422.67,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003419489472336183,0.003419489472336183,0.0,0.01,0.2061804656379636,10.0,73.11032890216802,100.0
2024-05-21,2427.15,2433.85,2406.37,2420.82,36.10140622852991,2449.99,2277.29,2306.66,2449.99,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-22,2421.2,2426.43,2374.97,2378.1,36.86933591710341,2449.99,2277.29,2332.07,2449.99,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-23,2379.35,2383.63,2326.96,2328.63,37.85936912124824,2449.99,2277.29,2332.07,2449.99,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-24,2329.41,2347.32,2325.34,2333.78,37.065400665185834,2449.99,2277.29,2326.96,2449.99,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-27,2335.91,2358.43,2332.26,2350.77,36.52063063192652,2449.99,2291.79,2325.34,2449.99,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-28,2352.42,2364.03,2340.28,2360.66,35.882099100330194,2449.99,2303.61,2325.34,2449.99,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-29,2361.73,2361.78,2334.49,2338.0,35.45249414531371,2449.99,2303.61,2325.34,2449.99,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-30,2338.61,2351.78,2322.52,2342.65,35.14286943804804,2449.99,2306.66,2325.34,2449.99,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-05-31,2343.48,2359.64,2320.56,2327.59,35.33972596614563,2449.99,2322.52,2322.52,2433.85,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-03,2328.65,2354.65,2314.71,2350.85,35.56973966783835,2449.99,2320.56,2320.56,2426.43,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-04,2351.32,2352.76,2315.58,2326.68,35.65025268444644,2449.99,2314.71,2314.71,2383.63,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-05,2328.03,2357.33,2325.83,2354.7,35.44274005022412,2449.99,2314.71,2314.71,2364.03,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-06,2355.67,2378.47,2353.5,2375.86,34.9191030477129,2449.99,2314.71,2314.71,2364.03,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-07,2376.32,2387.63,2286.71,2292.93,38.21914789532726,2449.99,2314.71,2314.71,2378.47,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003270611902241879,0.003270611902241879,0.0,0.01,0.21806160676514333,10.0,76.43829579065459,100.0
2024-06-10,2290.03,2313.71,2287.67,2310.37,37.6101905005609,2449.99,2286.71,2286.71,2387.63,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-11,2310.61,2319.82,2297.68,2316.41,36.83668097553287,2433.85,2286.71,2286.71,2387.63,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-12,2316.6,2341.57,2310.63,2324.17,36.541846926756236,2426.43,2286.71,2286.71,2387.63,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-13,2324.47,2326.59,2295.52,2303.91,36.26825458041843,2387.63,2286.71,2286.71,2387.63,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-14,2303.64,2336.56,2301.47,2332.43,36.20934185139752,2387.63,2286.71,2286.71,2387.63,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-17,2331.07,2331.36,2309.99,2318.66,35.520874758827645,2387.63,2286.71,2286.71,2387.63,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-18,2320.13,2333.1,2306.55,2329.18,35.072331020886246,2387.63,2286.71,2286.71,2387.63,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-19,2328.76,2334.95,2323.72,2328.27,33.88021446984193,2387.63,2286.71,2286.71,2387.63,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-20,2329.21,2365.41,2327.69,2359.07,34.07220374634982,2387.63,2286.71,2287.67,2341.57,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-21,2359.46,2368.65,2316.64,2321.14,34.969093559032345,2387.63,2286.71,2295.52,2365.41,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-24,2321.07,2334.59,2317.63,2333.55,34.06863888108073,2387.63,2286.71,2295.52,2368.65,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-25,2333.84,2337.0,2315.42,2319.13,33.44420693702669,2387.63,2286.71,2295.52,2368.65,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-26,2319.93,2323.95,2293.57,2297.74,33.29099659017534,2387.63,2286.71,2301.47,2368.65,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-27,2298.62,2330.88,2296.47,2327.88,33.34694676066659,2387.63,2286.71,2293.57,2368.65,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-06-28,2326.97,2339.72,2319.02,2326.23,32.71459942263325,2387.63,2286.71,2293.57,2368.65,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-01,2323.01,2338.45,2318.45,2331.63,32.07886945150159,2368.65,2287.67,2293.57,2368.65,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-02,2331.83,2336.71,2318.99,2329.77,31.360925978926524,2368.65,2293.57,2293.57,2368.65,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-03,2330.17,2364.88,2326.8,2355.83,31.696879679980196,2368.65,2293.57,2293.57,2368.65,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-04,2356.09,2362.38,2350.42,2356.37,30.71003569598119,2368.65,2293.57,2293.57,2364.88,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2024-07-05,2356.79,2392.82,2350.9,2390.92,31.270533911182135,2368.65,2293.57,2293.57,2364.88,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003997373385278236,0.003997373385278236,0.0,0.01,0.20912452110484667,10.0,62.54106782236432,100.0
2024-07-08,2389.42,2391.02,2351.0,2358.33,31.708007215623024,2392.82,2293.57,2293.57,2392.82,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
