date,open,high,low,close,atr,long_entry_level,short_entry_level,long_exit_level,short_exit_level,warmup_ready,long_entry_signal,short_entry_signal,entry_signal,audit_action,rejection_reason,raw_lots,capped_lots,stepped_lots,min_lot,max_lots_by_leverage,max_by_position,open_risk_at_min_lot,max_open_risk_dollars,direction
2024-05-15,2357.18,2390.21,2351.83,2387.27,36.05945117490495,2378.36,2277.29,2277.29,2378.36,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0034664975735124864,0.0034664975735124864,0.0,0.01,0.20944426059892682,10.0,72.11890234981001,100.0,long
2024-05-17,2378.02,2422.67,2373.91,2414.39,36.23280468535171,2397.24,2277.29,2303.61,2397.24,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0034499123400881884,0.0034499123400881884,0.0,0.01,0.20709164633717006,10.0,72.46560937070353,100.0,long
2024-05-20,2425.17,2449.99,2407.31,2425.06,36.55516445108411,2422.67,2277.29,2303.61,2422.67,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003419489472336183,0.003419489472336183,0.0,0.01,0.2061804656379636,10.0,73.11032890216802,100.0,long
2024-06-07,2376.32,2387.63,2286.71,2292.93,38.21914789532726,2449.99,2314.71,2314.71,2378.47,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003270611902241879,0.003270611902241879,0.0,0.01,0.21806160676514333,10.0,76.43829579065459,100.0,short
2024-07-05,2356.79,2392.82,2350.9,2390.92,31.270533911182135,2368.65,2293.57,2293.57,2364.88,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003997373385278236,0.003997373385278236,0.0,0.01,0.20912452110484667,10.0,62.54106782236432,100.0,long
2024-07-11,2371.82,2424.48,2371.1,2414.21,31.973295186494795,2392.82,2293.57,2318.45,2392.82,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003909512587642164,0.003909512587642164,0.0,0.01,0.2071070867902958,10.0,63.94659037298971,100.0,long
2024-07-16,2421.94,2469.59,2419.97,2468.77,32.92640896052096,2439.62,2293.57,2349.36,2439.62,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.003796344756267714,0.003796344756267714,0.0,0.01,0.2025300048202141,10.0,65.85281792104206,100.0,long
2024-08-16,2455.82,2509.67,2450.66,2506.95,38.74734629540835,2479.74,2355.74,2378.98,2479.74,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0032260273786752927,0.0032260273786752927,0.0,0.01,0.19944554139492213,10.0,77.49469259081661,100.0,long
2024-08-20,2503.65,2531.58,2497.27,2514.04,37.72333003160601,2509.67,2364.27,2380.94,2509.67,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0033135993003605554,0.0033135993003605554,0.0,0.01,0.19888307266391944,10.0,75.44666006321222,100.0,long
2024-09-12,2512.26,2560.0,2510.96,2558.98,33.29831319411355,2529.08,2470.7,2471.8,2529.08,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0037539439091496506,0.0037539439091496506,0.0,0.01,0.19539035084291398,10.0,66.59662638822692,100.0,long
2024-09-13,2558.27,2585.97,2556.59,2579.22,33.10239753440785,2560.0,2471.8,2471.8,2560.0,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0037761615263689104,0.0037761615263689104,0.0,0.01,0.19385705756003754,10.0,66.20479506881566,100.0,long
2024-09-20,2586.36,2625.7,2584.74,2621.88,33.85559931954679,2600.09,2471.8,2500.07,2600.09,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0036921514465062294,0.0036921514465062294,0.0,0.01,0.19070285444032525,10.0,67.71119863909371,100.0,long
2024-09-23,2620.98,2634.81,2613.81,2628.34,33.21281935356945,2625.7,2471.8,2500.81,2625.7,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.0037636070177994685,0.0037636070177994685,0.0,0.01,0.19023414017973322,10.0,66.42563870713911,100.0,long
