config_id,candidate_name,entry_window,exit_window,atr_period,stop_atr_multiplier,pyramid_atr_interval,risk_per_unit_pct,exposure_profile,max_total_lots,max_account_leverage,max_open_risk_pct,symbol_drawdown_pause_pct,portfolio_drawdown_pause_pct,drawdown_policy,expectancy,profit_factor,max_drawdown_pct,net_profit,trade_count,max_exposure_pct,all_symbols_positive_expectancy,drawdown_gate_passed
921,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,base_10_lots_5x,10.0,5.0,0.01,,,none,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
922,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,base_10_lots_5x,10.0,5.0,0.01,0.15,,symbol_pause_15,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
923,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,base_10_lots_5x,10.0,5.0,0.01,0.2,,symbol_pause_20,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
924,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,base_10_lots_5x,10.0,5.0,0.01,0.25,,symbol_pause_25,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
925,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,base_10_lots_5x,10.0,5.0,0.01,,0.15,portfolio_pause_15,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
926,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,base_10_lots_5x,10.0,5.0,0.01,,0.2,portfolio_pause_20,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
927,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,base_10_lots_5x,10.0,5.0,0.01,,0.25,portfolio_pause_25,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
928,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,base_10_lots_5x,10.0,5.0,0.01,0.15,0.15,symbol_and_portfolio_pause_15,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
929,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,base_10_lots_5x,10.0,5.0,0.01,0.2,0.2,symbol_and_portfolio_pause_20,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
930,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,base_10_lots_5x,10.0,5.0,0.01,0.25,0.25,symbol_and_portfolio_pause_25,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
951,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_5_lots_3x,5.0,3.0,0.01,,,none,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
952,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_5_lots_3x,5.0,3.0,0.01,0.15,,symbol_pause_15,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
953,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_5_lots_3x,5.0,3.0,0.01,0.2,,symbol_pause_20,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
954,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_5_lots_3x,5.0,3.0,0.01,0.25,,symbol_pause_25,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
955,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_5_lots_3x,5.0,3.0,0.01,,0.15,portfolio_pause_15,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
956,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_5_lots_3x,5.0,3.0,0.01,,0.2,portfolio_pause_20,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
957,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_5_lots_3x,5.0,3.0,0.01,,0.25,portfolio_pause_25,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
958,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_5_lots_3x,5.0,3.0,0.01,0.15,0.15,symbol_and_portfolio_pause_15,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
959,entry_15_exit_8_stop_1.5_pyr_0.75,15,8,20,1.5,0.75,0.005,capped_5_lots_3x,5.0,3.0,0.01,0.2,0.2,symbol_and_portfolio_pause_20,10.291856672654111,1.2599396952007909,0.09142651296770296,1317.3576540997274,128,0.799339658638398,True,True
