entry_window,exit_window,atr_period,stop_atr_multiplier,pyramid_atr_interval,symbols_tested,combined_trade_count,combined_expectancy,combined_win_rate,combined_profit_factor,max_symbol_drawdown_pct,all_symbols_positive_expectancy,symbols_passing_gate,neighbor_count,neighbor_expectancy_median,isolated_peak_red_flag
55,28,20,2.0,0.75,"XAGUSD.var,XAUUSD.var",142,-10.823406506396793,0.33098591549295775,0.8950186391169297,0.5318456770568033,False,0,5,-11.767840034479866,False
55,28,20,1.5,0.25,"XAGUSD.var,XAUUSD.var",192,-11.159722158461841,0.2708333333333333,0.8743161423829712,0.5344052268100711,False,0,4,-10.462637345762346,False
55,28,20,2.0,0.5,"XAGUSD.var,XAUUSD.var",157,-11.476192561518955,0.33121019108280253,0.8827557535488513,0.5501492777823186,False,0,6,-11.459028810790446,False
55,28,20,2.5,0.75,"XAGUSD.var,XAUUSD.var",135,-11.767840034479866,0.362962962962963,0.8889683104616156,0.5613940348816211,False,0,5,-21.256141840364325,False
55,28,20,1.5,0.5,"XAGUSD.var,XAUUSD.var",171,-12.0946511151841,0.2631578947368421,0.8690671456539533,0.5030851570651331,False,0,5,-11.476192561518955,False
55,28,20,1.5,0.75,"XAGUSD.var,XAUUSD.var",155,-13.582150223017353,0.2645161290322581,0.8633763077579056,0.51723056704461,False,0,4,-11.459028810790446,False
70,35,20,1.5,0.25,"XAGUSD.var,XAUUSD.var",168,-17.477577759583525,0.2261904761904762,0.8145431535285362,0.5489373514552639,False,0,3,-17.511189093628634,False
70,35,20,2.0,0.25,"XAGUSD.var,XAUUSD.var",144,-17.511189093628634,0.3055555555555556,0.8230060106752227,0.5788540427648653,False,0,4,-21.923087729181844,False
55,28,20,2.5,0.25,"XAGUSD.var,XAUUSD.var",159,-20.47971738071435,0.3522012578616352,0.8026243689966585,0.6196572852710952,False,0,5,-21.256141840364325,False
55,28,20,2.5,0.5,"XAGUSD.var,XAUUSD.var",150,-21.256141840364325,0.3466666666666667,0.7961357976839775,0.611805061583017,False,0,6,-16.123778707597108,False
55,28,20,3.0,0.75,"XAGUSD.var,XAUUSD.var",133,-22.973427462356558,0.38345864661654133,0.7897063790997939,0.6087354133009524,False,0,4,-22.306399545328087,False
70,35,20,2.5,0.25,"XAGUSD.var,XAUUSD.var",138,-26.36859769878016,0.3188405797101449,0.7474443140290513,0.6353906118649457,False,0,4,-27.82647292500372,False
55,28,20,3.0,0.25,"XAGUSD.var,XAUUSD.var",154,-28.648713223563686,0.37012987012987014,0.7375791754325415,0.667638356840586,False,0,4,-26.662338218445328,False
70,35,20,1.5,0.5,"XAGUSD.var,XAUUSD.var",168,-29.926253119983574,0.20833333333333334,0.6825292795175982,0.5480001528027633,False,0,4,-23.97230190229948,False
70,35,20,1.5,0.75,"XAGUSD.var,XAUUSD.var",149,-30.467026045015437,0.2214765100671141,0.6815125381717291,0.5397267012802974,False,0,3,-29.926253119983574,False
55,28,20,3.0,0.5,"XAGUSD.var,XAUUSD.var",146,-32.84495905617631,0.3698630136986301,0.7033511868160935,0.659256489188097,False,0,5,-22.973427462356558,False
70,35,20,2.0,0.75,"XAGUSD.var,XAUUSD.var",137,-34.00617008972383,0.27007299270072993,0.6772732638974516,0.5786807520088768,False,0,4,-33.13640041714141,False
70,35,20,2.5,0.5,"XAGUSD.var,XAUUSD.var",134,-35.173228469293086,0.2835820895522388,0.6786769314295824,0.6474250433148455,False,0,5,-35.80577478926738,False
70,35,20,2.0,0.5,"XAGUSD.var,XAUUSD.var",151,-35.80577478926738,0.25165562913907286,0.6568573850100069,0.6059448602940953,False,0,5,-29.926253119983574,False
70,35,20,2.5,0.75,"XAGUSD.var,XAUUSD.var",125,-36.39338353895316,0.296,0.6799796037424648,0.6116358479894619,False,0,4,-34.58969927950846,False
70,35,20,3.0,0.25,"XAGUSD.var,XAUUSD.var",138,-36.80623471856868,0.3188405797101449,0.6709644865075821,0.6765855420053689,False,0,3,-28.648713223563686,False
70,35,20,3.0,0.5,"XAGUSD.var,XAUUSD.var",130,-40.89940166034271,0.2923076923076923,0.6412639687740213,0.6732442024770446,False,0,4,-35.989731593930884,False
70,35,20,3.0,0.75,"XAGUSD.var,XAUUSD.var",120,-41.6638266439453,0.30833333333333335,0.6448397680428176,0.6600029901588065,False,0,3,-36.39338353895316,False
